index,gabarito
1,Geometria
2,Álgebra e Funções
3,Gráficos e Tabelas
4,Geometria
5,Proporcionalidade e Variação
6,Geometria
7,Grandezas e Medidas
8,Álgebra e Funções
9,Álgebra e Funções
10,Álgebra e Funções
11,Grandezas e Medidas
12,Proporcionalidade e Variação
13,Aritmética
14,Estatística e Probabilidade
15,Geometria
16,Estatística e Probabilidade
17,Estatística e Probabilidade
18,Álgebra e Funções
19,Álgebra e Funções
20,Aritmética
21,Estatística e Probabilidade
22,Aritmética
23,Álgebra e Funções
24,Gráficos e Tabelas
25,Aritmética
26,Álgebra e Funções
27,Estatística e Probabilidade
28,Proporcionalidade e Variação
29,Proporcionalidade e Variação
30,Aritmética
31,Grandezas e Medidas
32,Gráficos e Tabelas
33,Grandezas e Medidas
34,Geometria
35,Aritmética
36,Gráficos e Tabelas
37,Estatística e Probabilidade
38,Gráficos e Tabelas
39,Proporcionalidade e Variação
40,Proporcionalidade e Variação
41,Geometria
42,Grandezas e Medidas
43,Aritmética
44,Grandezas e Medidas
45,Grandezas e Medidas